PROLIFIC_PID,chart,question,sketchImage,tag,designGuidelines
601a3f1c5ae80c23d4ce0f02,AC2,AC2Q1,AC2Q1_R_1eWE62X6AUScCMc.png,,
613d20af66c5431995b4cbdc,AC2,AC2Q1,AC2Q1_R_1qalWvDa8z4HLfs.png,,
5cb4adc019ee7300189e8547,AC2,AC2Q1,AC2Q1_R_2Pb3ABApTsqS3Jl.png,,
61230876ad65890ff8619511,AC2,AC2Q1,AC2Q1_R_2aCSBNJjBanMISN.png,,
614b6e4a03ded5acfe2ef9b0,AC2,AC2Q1,AC2Q1_R_bBYquHiBklKfmAF.png,,
613e868f4d6c157238b8fd87,AC2,AC2Q1,AC2Q1_R_qJcU4U0KnWs6Lnz.png,,
61230876ad65890ff8619511,AC2,AC2Q2,AC2Q2_R_2aCSBNJjBanMISN.png,,
5e8bbf2d430dd50008c4fccc,AC2,AC2Q2,AC2Q2_R_339oxKJvqasU1as.png,,
5d1f3c99608da700167a1391,AC2,AC2Q2,AC2Q2_R_t0CD8Sjo20owQE1.png,,
63469117956f3451ba159ff8,AC2,AC2Q3,AC2Q3_R_1NlwFmOuUVBaeea.png,,
601a3f1c5ae80c23d4ce0f02,AC2,AC2Q3,AC2Q3_R_1eWE62X6AUScCMc.png,,
5cb4adc019ee7300189e8547,AC2,AC2Q3,AC2Q3_R_2Pb3ABApTsqS3Jl.png,,
5e1f321074dfbe028c2fbb18,AC2,AC2Q3,AC2Q3_R_2YgGlmdIRITklxf.png,,
5b6f07e3601c8600019328de,AC2,AC2Q3,AC2Q3_R_2qa33uKUNjCuE0q.png,,
5e8bbf2d430dd50008c4fccc,AC2,AC2Q3,AC2Q3_R_339oxKJvqasU1as.png,,
613e868f4d6c157238b8fd87,AC2,AC2Q3,AC2Q3_R_qJcU4U0KnWs6Lnz.png,,
63469117956f3451ba159ff8,AC2,AC2Q4,AC2Q4_R_1NlwFmOuUVBaeea.png,,
61690cac90729702f4d563de,AC2,AC2Q4,AC2Q4_R_2Ed9wQrWEbHKZvv.png,,
5e8bbf2d430dd50008c4fccc,AC2,AC2Q4,AC2Q4_R_339oxKJvqasU1as.png,,
5bddcde7072d980001a8a9cf,AC,ACQ1,ACQ1_R_2dSKNTMDrpOIGb1.png,,
5e8e38da572c650e2ede51c9,AC,ACQ1,ACQ1_R_2xFzb7lDkJFr8wu.png,,
6112aa865f237cf99d0b0094,AC,ACQ1,ACQ1_R_3EiHZeDwJysMONb.png,,
5f6785ff73bbcf3923de77cc,AC,ACQ1,ACQ1_R_3qlo0gTj7qX5NaV.png,,
6107acc592df914a921e2b41,AC,ACQ1,ACQ1_R_pH3jYPUuhsiruJr.png,,
60f8334891c71768b6719ef6,AC,ACQ1,ACQ1_R_xsaKUVdTdetngd3.png,,
6141375df579b5d078fe12dc,AC,ACQ2,ACQ2_R_1DSSJM8uwjonRFh.png,,
60d4477467e235cde30140a9,AC,ACQ2,ACQ2_R_1mIBohkOmIdsgF5.png,,
5f315af6d221ae0e7843dc13,AC,ACQ2,ACQ2_R_241SEsUc9JJZ9ii.png,,
5bddcde7072d980001a8a9cf,AC,ACQ2,ACQ2_R_2dSKNTMDrpOIGb1.png,,
5e8e38da572c650e2ede51c9,AC,ACQ2,ACQ2_R_2xFzb7lDkJFr8wu.png,,
6112aa865f237cf99d0b0094,AC,ACQ2,ACQ2_R_3EiHZeDwJysMONb.png,,
615f04836985bb3ce5815f3c,AC,ACQ2,ACQ2_R_3G94sLKEDU4CAIr.png,,
60f8334891c71768b6719ef6,AC,ACQ2,ACQ2_R_xsaKUVdTdetngd3.png,,
6141375df579b5d078fe12dc,AC,ACQ3,ACQ3_R_1DSSJM8uwjonRFh.png,,
61183bece4c3e63512e3eb5d,AC,ACQ3,ACQ3_R_1j9P5vv5Ufod123.png,,
60d4477467e235cde30140a9,AC,ACQ3,ACQ3_R_1mIBohkOmIdsgF5.png,,
61176ed28c8935138ab6a64b,AC,ACQ3,ACQ3_R_2ZCWA6Wf2jsOGIb.png,,
5bddcde7072d980001a8a9cf,AC,ACQ3,ACQ3_R_2dSKNTMDrpOIGb1.png,,
5e8e38da572c650e2ede51c9,AC,ACQ3,ACQ3_R_2xFzb7lDkJFr8wu.png,,
5f19dc86afa07c0894f60578,AC,ACQ3,ACQ3_R_32Q56m6gcri89NR.png,,
615f04836985bb3ce5815f3c,AC,ACQ3,ACQ3_R_3G94sLKEDU4CAIr.png,,
5f6785ff73bbcf3923de77cc,AC,ACQ3,ACQ3_R_3qlo0gTj7qX5NaV.png,,
60f18f433a08db69fcadb70d,AC,ACQ3,ACQ3_R_DSmeZLcUwsRPTe9.png,,
6107acc592df914a921e2b41,AC,ACQ3,ACQ3_R_pH3jYPUuhsiruJr.png,,
