Question Column,PROLIFIC_PID,Accuracy,time
SBQ1,5f18348b01348e0716a1978a,1,48.729
SBQ1,5f315af6d221ae0e7843dc13,1,30.375
SBQ1,604261cfffdadc107f6b29c2,1,82.68
SBQ1,5fc803acace3cd0fe2b214c5,1,46.866
SBQ1,5e569011c0486f03a51801b5,1,16.405
SBQ1,5b7a0bb43c13750001982223,0,37.556
SBQ1,617598d967559810c706d5a5,0,26.699
SBQ1,5e3182adf6bb2315a48da619,0,47.575
SBQ1,5f6785ff73bbcf3923de77cc,1,78.566
SBQ1,6134d21dcb8ab807bad2df99,1,68.102
SBQ1,6140ef6c6783290ec216b9cb,0,24.066
SBQ1,61196ccab9b0c6a17c0e9b3b,1,41.21
SBQ1,611a78efa6c36a674dc40cc6,1,21.535
SBQ1,5d8a8df05722b400010ae948,1,48.016
SBQ1,6154b3a7e4bc93e1ce93c6bc,0,21.903
SBQ1,64c9286ef7a221c5a8f1b8a1,1,154.882
SBQ1,613284d37713a1645330938f,1,88.092
SBQ1,60d3acd071e98de7a42743ac,1,277.27
SBQ1,5f8f7b6a2650711e2238f6d5,1,29.338
SBQ1,6165cc70337bed7476a20f97,1,86.768
SBQ1,5f1caf052171f856a1e484d2,0,108.586
SBQ1,61572b39d8a0be3869ccd5ae,1,30.567
SBQ1,60be61231b34e6b2bf1e76ab,0,47.115
SBQ1,60f1f1d4ac991a259b83f603,0,117.233
SBQ1,5b16bc7644127b00013f7245,1,57.47
SBQ1,6158031479297ac1c777b5dc,1,43.757
SBQ1,5ed7239e4aaed51a7d11e94e,0,50.682
SBQ1,60c3c8f790736ad8d329816b,0,73.151
SBQ1,60decd2097f9a85cd3a908b0,0,70.056
SBQ1,6133d4312b2821322655a70d,0,28.329
SBQ1,613a930ddceaa99a97d512bb,0,55.746
SBQ1,61053334bb5ec9d6f2918ba1,0,75.351
SBQ1,5eab7843de4724150babfd6b,0,1011.776
SBQ1,6480fdb35359bd308df67b77,0,244.769
SBQ1,5bf725d2120df400011a6dca,1,125.882
SBQ1,64eb55ead08d423f0081c8f5,0,143.458
SBQ1,5f7f6ea18b9c4a117d887a3f,1,84.641
SBQ1,613a6f333eacb2c4641d0540,1,47.116
SBQ1,614397e06d85fcb10c7c9087,0,125.9
SBQ1,60b94f837bfda8b1977feef0,0,124.555
SBQ1,5e0a095a54ff2329aa070d54,0,74.953
SBQ1,5bdf91dbb32fa800012ea282,1,210.366
SBQ2,5f18348b01348e0716a1978a,1,12.591
SBQ2,5f315af6d221ae0e7843dc13,0,17.826
SBQ2,604261cfffdadc107f6b29c2,0,26.726
SBQ2,5fc803acace3cd0fe2b214c5,0,14.317
SBQ2,5e569011c0486f03a51801b5,1,17.406
SBQ2,5b7a0bb43c13750001982223,1,26.411
SBQ2,617598d967559810c706d5a5,1,28.511
SBQ2,5e3182adf6bb2315a48da619,1,15.628
SBQ2,5f6785ff73bbcf3923de77cc,1,16.695
SBQ2,6134d21dcb8ab807bad2df99,1,27.998
SBQ2,6140ef6c6783290ec216b9cb,0,25.478
SBQ2,61196ccab9b0c6a17c0e9b3b,0,26.491
SBQ2,611a78efa6c36a674dc40cc6,0,19.67
SBQ2,5d8a8df05722b400010ae948,1,54.284
SBQ2,6154b3a7e4bc93e1ce93c6bc,0,25.929
SBQ2,64c9286ef7a221c5a8f1b8a1,1,73.076
SBQ2,613284d37713a1645330938f,1,18.696
SBQ2,60d3acd071e98de7a42743ac,1,17.374
SBQ2,5f8f7b6a2650711e2238f6d5,0,6.081
SBQ2,6165cc70337bed7476a20f97,1,18.532
SBQ2,5f1caf052171f856a1e484d2,0,21.289
SBQ2,61572b39d8a0be3869ccd5ae,1,26.117
SBQ2,60be61231b34e6b2bf1e76ab,0,15.921
SBQ2,60f1f1d4ac991a259b83f603,1,48.437
SBQ2,5b16bc7644127b00013f7245,1,45.966
SBQ2,6158031479297ac1c777b5dc,0,95.313
SBQ2,5ed7239e4aaed51a7d11e94e,1,58.653
SBQ2,60c3c8f790736ad8d329816b,1,48.501
SBQ2,60decd2097f9a85cd3a908b0,1,45.696
SBQ2,6133d4312b2821322655a70d,1,54.436
SBQ2,613a930ddceaa99a97d512bb,0,29.311
SBQ2,61053334bb5ec9d6f2918ba1,1,42.398
SBQ2,5eab7843de4724150babfd6b,1,20.594
SBQ2,6480fdb35359bd308df67b77,0,39.683
SBQ2,5bf725d2120df400011a6dca,1,14.699
SBQ2,64eb55ead08d423f0081c8f5,0,20.146
SBQ2,5f7f6ea18b9c4a117d887a3f,0,49.945
SBQ2,613a6f333eacb2c4641d0540,0,38.076
SBQ2,614397e06d85fcb10c7c9087,0,44.816
SBQ2,60b94f837bfda8b1977feef0,0,30.822
SBQ2,5e0a095a54ff2329aa070d54,1,9.007
SBQ2,5bdf91dbb32fa800012ea282,1,52.665
SBQ3,5f18348b01348e0716a1978a,1,19.393
SBQ3,5f315af6d221ae0e7843dc13,0,41.165
SBQ3,604261cfffdadc107f6b29c2,0,12.737
SBQ3,5fc803acace3cd0fe2b214c5,0,31.801
SBQ3,5e569011c0486f03a51801b5,1,9.247
SBQ3,5b7a0bb43c13750001982223,1,81.083
SBQ3,617598d967559810c706d5a5,1,18.343
SBQ3,5e3182adf6bb2315a48da619,1,50.866
SBQ3,5f6785ff73bbcf3923de77cc,1,31.506
SBQ3,6134d21dcb8ab807bad2df99,0,125.124
SBQ3,6140ef6c6783290ec216b9cb,0,16.839
SBQ3,61196ccab9b0c6a17c0e9b3b,0,23.8
SBQ3,611a78efa6c36a674dc40cc6,0,22.925
SBQ3,5d8a8df05722b400010ae948,1,55.139
SBQ3,6154b3a7e4bc93e1ce93c6bc,0,31.866
SBQ3,64c9286ef7a221c5a8f1b8a1,1,22.321
SBQ3,613284d37713a1645330938f,0,22.714
SBQ3,60d3acd071e98de7a42743ac,1,49.408
SBQ3,5f8f7b6a2650711e2238f6d5,0,34.695
SBQ3,6165cc70337bed7476a20f97,1,37.762
SBQ3,5f1caf052171f856a1e484d2,0,15.408
SBQ3,61572b39d8a0be3869ccd5ae,1,22.903
SBQ3,60be61231b34e6b2bf1e76ab,0,50.696
SBQ3,60f1f1d4ac991a259b83f603,0,48.103
SBQ3,5b16bc7644127b00013f7245,0,32.982
SBQ3,6158031479297ac1c777b5dc,1,71.792
SBQ3,5ed7239e4aaed51a7d11e94e,1,50.222
SBQ3,60c3c8f790736ad8d329816b,1,32.02
SBQ3,60decd2097f9a85cd3a908b0,0,18.564
SBQ3,6133d4312b2821322655a70d,1,45.82
SBQ3,613a930ddceaa99a97d512bb,0,166.942
SBQ3,61053334bb5ec9d6f2918ba1,1,46.061
SBQ3,5eab7843de4724150babfd6b,0,5.495
SBQ3,6480fdb35359bd308df67b77,0,39.581
SBQ3,5bf725d2120df400011a6dca,1,17.313
SBQ3,64eb55ead08d423f0081c8f5,0,30.139
SBQ3,5f7f6ea18b9c4a117d887a3f,1,88.326
SBQ3,613a6f333eacb2c4641d0540,0,36.439
SBQ3,614397e06d85fcb10c7c9087,0,36.214
SBQ3,60b94f837bfda8b1977feef0,0,61.858
SBQ3,5e0a095a54ff2329aa070d54,1,15.901
SBQ3,5bdf91dbb32fa800012ea282,1,35.905
SBQ4,5f18348b01348e0716a1978a,0,53.057
SBQ4,5f315af6d221ae0e7843dc13,0,77.044
SBQ4,604261cfffdadc107f6b29c2,0,73.738
SBQ4,5fc803acace3cd0fe2b214c5,1,32.812
SBQ4,5e569011c0486f03a51801b5,1,35.302
SBQ4,5b7a0bb43c13750001982223,1,62.405
SBQ4,617598d967559810c706d5a5,1,54.53
SBQ4,5e3182adf6bb2315a48da619,1,48.658
SBQ4,5f6785ff73bbcf3923de77cc,0,41.471
SBQ4,6134d21dcb8ab807bad2df99,1,66.702
SBQ4,6140ef6c6783290ec216b9cb,0,40.752
SBQ4,61196ccab9b0c6a17c0e9b3b,1,68.768
SBQ4,611a78efa6c36a674dc40cc6,1,38.247
SBQ4,5d8a8df05722b400010ae948,1,78.326
SBQ4,6154b3a7e4bc93e1ce93c6bc,0,54.986
SBQ4,64c9286ef7a221c5a8f1b8a1,1,128.768
SBQ4,613284d37713a1645330938f,1,68.938
SBQ4,60d3acd071e98de7a42743ac,1,123.513
SBQ4,5f8f7b6a2650711e2238f6d5,0,663.027
SBQ4,6165cc70337bed7476a20f97,1,105.125
SBQ4,5f1caf052171f856a1e484d2,1,62.294
SBQ4,61572b39d8a0be3869ccd5ae,1,26.453
SBQ4,60be61231b34e6b2bf1e76ab,1,78.089
SBQ4,60f1f1d4ac991a259b83f603,0,45.207
SBQ4,5b16bc7644127b00013f7245,1,50.825
SBQ4,6158031479297ac1c777b5dc,0,47.367
SBQ4,5ed7239e4aaed51a7d11e94e,1,319.391
SBQ4,60c3c8f790736ad8d329816b,1,73.198
SBQ4,60decd2097f9a85cd3a908b0,1,73.199
SBQ4,6133d4312b2821322655a70d,1,79.838
SBQ4,613a930ddceaa99a97d512bb,0,87.596
SBQ4,61053334bb5ec9d6f2918ba1,1,106.022
SBQ4,5eab7843de4724150babfd6b,0,34.885
SBQ4,6480fdb35359bd308df67b77,1,193.987
SBQ4,5bf725d2120df400011a6dca,1,78.325
SBQ4,64eb55ead08d423f0081c8f5,1,84.489
SBQ4,5f7f6ea18b9c4a117d887a3f,0,91.323
SBQ4,613a6f333eacb2c4641d0540,1,34.788
SBQ4,614397e06d85fcb10c7c9087,0,103.401
SBQ4,60b94f837bfda8b1977feef0,1,205.632
SBQ4,5e0a095a54ff2329aa070d54,0,16.836
SBQ4,5bdf91dbb32fa800012ea282,1,68.124
SBQ5,5f18348b01348e0716a1978a,0,11.581
SBQ5,5f315af6d221ae0e7843dc13,0,16.182
SBQ5,604261cfffdadc107f6b29c2,0,16.6
SBQ5,5fc803acace3cd0fe2b214c5,1,19.321
SBQ5,5e569011c0486f03a51801b5,0,24.296
SBQ5,5b7a0bb43c13750001982223,1,23.178
SBQ5,617598d967559810c706d5a5,0,12.435
SBQ5,5e3182adf6bb2315a48da619,1,16.022
SBQ5,5f6785ff73bbcf3923de77cc,0,20.771
SBQ5,6134d21dcb8ab807bad2df99,1,43.364
SBQ5,6140ef6c6783290ec216b9cb,0,13.252
