id,age,job,visLiteracy,education,colorblind,measure,value,questionId,task,chart
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,accuracy,1,SPQ1,retrieve value,Scatter Plot
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,12.111,SPQ1,retrieve value,Scatter Plot
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,accuracy,1,SPQ2,find extremum,Scatter Plot
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,49.531,SPQ2,find extremum,Scatter Plot
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,accuracy,1,SPQ3,determine range,Scatter Plot
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,131.534,SPQ3,determine range,Scatter Plot
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,accuracy,1,SPQ4,find clusters,Scatter Plot
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,13.986,SPQ4,find clusters,Scatter Plot
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,accuracy,1,SPQ5,find correlations/trends,Scatter Plot
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,17.031,SPQ5,find correlations/trends,Scatter Plot
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,accuracy,1,LCQ1,retrieve value,Line Chart
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,14.638,LCQ1,retrieve value,Line Chart
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,accuracy,1,LCQ2,find extremum,Line Chart
5fbbde667818f3dc301f6647,27,Programming,Beginner,High school graduate - High school diploma or equivalent (for example: GED),I am not colorblind,time,8.687,LCQ2,find extremum,Line Chart
