PROLIFIC_PID,chart,question,sketchImage,tag,designGuidelines
5fa5b5af0c782d12315dfd32,AC,ACQ1,ACQ1_R_1HcRxH3c6iBEsD1.png,,
5e8241ef534c91943820e8f8,AC,ACQ1,ACQ1_R_28HRXbr9N8IcQrZ.png,,
5ad0aed35b53cb0001f33bcb,AC,ACQ1,ACQ1_R_2BwCV3dmJqiI1wY.png,,
640a31a73fc04f57c348abf2,AC,ACQ1,ACQ1_R_2xCWS9A0j0UHBvk.png,,
609252692568228b9e5399b0,AC,ACQ1,ACQ1_R_3PFBBVe1VV6Fbyr.png,,
64906af75cbd3f0a0e003f95,AC,ACQ1,ACQ1_R_4Ztkv92nNEq7rsB.png,,
613a09151c38385763cbdd32,AC,ACQ1,ACQ1_R_ROiKwnrBE9n2SAN.png,,
613d8489ab93bd9635c12051,AC,ACQ1,ACQ1_R_XsTHEIypL5XzCvL.png,,
5f4520ebb012170878012efc,AC,ACQ1,ACQ1_R_pagA4YmCTW8KzGV.png,,
64e76f84a245834a13912159,AC,ACQ1,ACQ1_R_yL4RJkeIxi6botj.png,,
608adf0cc8637f7f395352b1,AC,ACQ2,ACQ2_R_1rrlRmdX3lqEfGK.png,,
5e8241ef534c91943820e8f8,AC,ACQ2,ACQ2_R_28HRXbr9N8IcQrZ.png,,
5ad0aed35b53cb0001f33bcb,AC,ACQ2,ACQ2_R_2BwCV3dmJqiI1wY.png,,
5f913cbf314c3d000982e130,AC,ACQ3,ACQ3_R_1Cj2NT9R1vYL6vm.png,,
5fa5b5af0c782d12315dfd32,AC,ACQ3,ACQ3_R_1HcRxH3c6iBEsD1.png,,
613f00ed5c3a2ad71438d095,AC,ACQ3,ACQ3_R_25EkXzTK4mDWTff.png,,
6170392b58b706ae5130c0b4,AC,ACQ3,ACQ3_R_25KgsRbXZYlEuCD.png,,
5e8241ef534c91943820e8f8,AC,ACQ3,ACQ3_R_28HRXbr9N8IcQrZ.png,,
61377e491956e87654c9fd95,AC,ACQ3,ACQ3_R_2wEyhu0Gp1S0GIF.png,,
