PROLIFIC_PID,chart,question,sketchImage,tag,designGuidelines
60d99408d8ecc5cfef9b89be,AC,ACQ4,ACQ4_R_1Fr0Eq5dwHhI1Td.png,,
5aacbb016be3fa00013a3251,AC,ACQ4,ACQ4_R_1HjC1BJPFLXTttj.png,,
614fb1dd07393b9789143d2b,AC,ACQ4,ACQ4_R_1OBNJNshonVTZsE.png,,
605f9711f59b7bede82ebc71,AC,ACQ4,ACQ4_R_1d604915FatTQRe.png,,
613e68c510d0e0ca93ed61c4,AC,ACQ4,ACQ4_R_1dMhws7FrXZNv3U.png,,
61146df02f8f4131c8da6d3c,AC,ACQ4,ACQ4_R_1diqYoyE0ymjRXO.png,,
61236d32c2154e6d14e7e995,AC,ACQ4,ACQ4_R_1g1HTtyyW1gJar5.png,,
616ef5825430c20775b0af29,AC,ACQ4,ACQ4_R_27QfgngJxBeGgy7.png,,
60f74376f85811084457d2b7,AC,ACQ4,ACQ4_R_2EcPAoFwe757M91.png,,
5996ec910ed7ae0001991755,AC,ACQ4,ACQ4_R_2vc8A3xQd2VsKYq.png,,
615ed775a1a249fe4b81b7ea,AC,ACQ4,ACQ4_R_2wHN6oRdVTzCZek.png,,
60e9730eca01b5317c0125e6,AC,ACQ4,ACQ4_R_2y2ixRbySuY70c3.png,,
61450281d3669e2bfece851d,AC,ACQ4,ACQ4_R_32PcPtwFrVYi9WD.png,,
5f7ec762e9dbb819b8b532c6,AC,ACQ4,ACQ4_R_3NQl1pCEi9jCSWo.png,,
5f9ca2ca8882e418dddb9096,AC,ACQ4,ACQ4_R_WBWdphWvONX5eZr.png,,
614dd489fbaaac91b461c640,AC,ACQ4,ACQ4_R_vPtIdL7MYMyeM0h.png,,
615c445d4e819c9067bc1b4e,AC,ACQ4,ACQ4_R_yPDIDArsCoGsok9.png,,
5f9d66b82d1236279a26cc2b,SA,SAQ3,SAQ3_R_11YHwOxKpoNXSnE.png,,
60d99408d8ecc5cfef9b89be,SA,SAQ3,SAQ3_R_1Fr0Eq5dwHhI1Td.png,,
5aacbb016be3fa00013a3251,SA,SAQ3,SAQ3_R_1HjC1BJPFLXTttj.png,,
614fb1dd07393b9789143d2b,SA,SAQ3,SAQ3_R_1OBNJNshonVTZsE.png,,
64e8b80cdb39afb3e93a1516,SA,SAQ3,SAQ3_R_1QMApSfEyFUFKNK.png,,
605f9711f59b7bede82ebc71,SA,SAQ3,SAQ3_R_1d604915FatTQRe.png,,
613e68c510d0e0ca93ed61c4,SA,SAQ3,SAQ3_R_1dMhws7FrXZNv3U.png,,
61146df02f8f4131c8da6d3c,SA,SAQ3,SAQ3_R_1diqYoyE0ymjRXO.png,,
61236d32c2154e6d14e7e995,SA,SAQ3,SAQ3_R_1g1HTtyyW1gJar5.png,,
60d59686a148c19ff53b231a,SA,SAQ3,SAQ3_R_22t5jL0MwrzxvSt.png,,
616ef5825430c20775b0af29,SA,SAQ3,SAQ3_R_27QfgngJxBeGgy7.png,,
60f74376f85811084457d2b7,SA,SAQ3,SAQ3_R_2EcPAoFwe757M91.png,,
5c522508fcbef20001939a03,SA,SAQ3,SAQ3_R_2VejyCstHi0umOP.png,,
5f4cc4ea00dba58ecd5a98a4,SA,SAQ3,SAQ3_R_2VrRowjxaAjvy9M.png,,
5c57113cfcbb880001fcfc6d,SA,SAQ3,SAQ3_R_2ayseO7PVb9hIvt.png,,
60f71d92becec103ba0fa31d,SA,SAQ3,SAQ3_R_2drK23vsj8jNYcR.png,,
615ed775a1a249fe4b81b7ea,SA,SAQ3,SAQ3_R_2wHN6oRdVTzCZek.png,,
60c78d1e4cfd5e67fb6be437,SA,SAQ3,SAQ3_R_2xK6gOnstQcL1AR.png,,
60e9730eca01b5317c0125e6,SA,SAQ3,SAQ3_R_2y2ixRbySuY70c3.png,,
611e327c7a46d3814231d581,SA,SAQ3,SAQ3_R_302DszApCqGAGLr.png,,
61450281d3669e2bfece851d,SA,SAQ3,SAQ3_R_32PcPtwFrVYi9WD.png,,
586e8212156b0100017864c2,SA,SAQ3,SAQ3_R_33B9jZFB7OPoguC.png,,
5f5bd225fc41a5384dce2d87,SA,SAQ3,SAQ3_R_3JpUMVC41aDywwf.png,,
61250fb215f9e6c8db46fba5,SA,SAQ3,SAQ3_R_3LXCiS24jmuAsUg.png,,
5f7ec762e9dbb819b8b532c6,SA,SAQ3,SAQ3_R_3NQl1pCEi9jCSWo.png,,
5f2c907e5de0a6182b0c7eae,SA,SAQ3,SAQ3_R_3fBl8IIykaWzmrq.png,,
60fabe7bd32b2ed831d38885,SA,SAQ3,SAQ3_R_3oSbn5sLd2hlAW2.png,,
60fc6459f6fd6a6c8cfa7efb,SA,SAQ3,SAQ3_R_4UsMIP675TEO4j7.png,,
5e47334ae1275e1f219e11db,SA,SAQ3,SAQ3_R_Autq98k9rKIskMN.png,,
5f9ca2ca8882e418dddb9096,SA,SAQ3,SAQ3_R_WBWdphWvONX5eZr.png,,
61002db58920b51da825d9e8,SA,SAQ3,SAQ3_R_cSyGtnpnMegbsYx.png,,
60fdb05e9fae758192d21a0e,SA,SAQ3,SAQ3_R_vHqPKQXnYfkQRa1.png,,
614dd489fbaaac91b461c640,SA,SAQ3,SAQ3_R_vPtIdL7MYMyeM0h.png,,
5e99e6e55e775605e070597b,SA,SAQ3,SAQ3_R_vZ6VEFdevRmnMch.png,,
615c445d4e819c9067bc1b4e,SA,SAQ3,SAQ3_R_yPDIDArsCoGsok9.png,,
