PROLIFIC_PID,chart,question,sketchImage,tag,designGuidelines
5fd3ec9a6ef5c510d9429920,AC,ACQ1,ACQ1_R_1GvNIbhHCvtnA2V.png,,
615e056d45156d8d481b5856,AC,ACQ1,ACQ1_R_1gitGAckGFvxVz1.png,,
603e398b791c600929143195,AC,ACQ1,ACQ1_R_2P6BVh2rwjiG2Pr.png,,
615bc2bfcbb7dff35fb83eb1,AC,ACQ1,ACQ1_R_2w68oupieN79OPu.png,,
60fcd2ade28cc412d542108c,AC,ACQ1,ACQ1_R_3iKFSnDQzUcHnGw.png,,
5f316280965ec564c886f978,AC,ACQ1,ACQ1_R_3qQAR2xQT3uOAcQ.png,,
6126d91f511f195f9a4cc4d0,AC,ACQ1,ACQ1_R_AuQN0TuH6dR20bT.png,,
64e369beb2e16553eb33edb1,AC,ACQ1,ACQ1_R_RV6jfGEAObaHFmx.png,,
5e3352b4334b2131feaf8dbb,AC,ACQ2,ACQ2_R_1CdnC13t24FNsYT.png,,
5fd3ec9a6ef5c510d9429920,AC,ACQ2,ACQ2_R_1GvNIbhHCvtnA2V.png,,
6093672d6d0cab92f5319597,AC,ACQ2,ACQ2_R_2bOjR2UgzwnE4iW.png,,
5e8a0912524dca6ad71ecb86,AC,ACQ2,ACQ2_R_2vibkPXKuGIL5X3.png,,
5f316280965ec564c886f978,AC,ACQ2,ACQ2_R_3qQAR2xQT3uOAcQ.png,,
5c534e802a52960001fe264f,AC,ACQ3,ACQ3_R_1BXXwYyGONDsGl1.png,,
615e056d45156d8d481b5856,AC,ACQ3,ACQ3_R_1gitGAckGFvxVz1.png,,
603e398b791c600929143195,AC,ACQ3,ACQ3_R_2P6BVh2rwjiG2Pr.png,,
61561c859a3024c925ed6577,AC,ACQ3,ACQ3_R_2usVboBLenuLnIr.png,,
615bc2bfcbb7dff35fb83eb1,AC,ACQ3,ACQ3_R_2w68oupieN79OPu.png,,
5ee8b6dbac5fa1054ebd60a7,AC,ACQ3,ACQ3_R_3R2ywNijZYm0HN9.png,,
60fcd2ade28cc412d542108c,AC,ACQ3,ACQ3_R_3iKFSnDQzUcHnGw.png,,
5f316280965ec564c886f978,AC,ACQ3,ACQ3_R_3qQAR2xQT3uOAcQ.png,,
5f35ea51f0cfd606d35d01e5,AC,ACQ3,ACQ3_R_AvUNtbl4FEhPC4V.png,,
61561c859a3024c925ed6577,AC,ACQ4,ACQ4_R_2usVboBLenuLnIr.png,,
615e056d45156d8d481b5856,BC,BCQ1,BCQ1_R_1gitGAckGFvxVz1.png,,
5eac66ab9334300f4c37121b,BC,BCQ2,BCQ2_R_125p0k5wFQtWnmC.png,,
5eac66ab9334300f4c37121b,BC,BCQ3,BCQ3_R_125p0k5wFQtWnmC.png,,
5ff265688f62107122f931f2,BC,BCQ3,BCQ3_R_2D5YAMq3VkXpyDp.png,,
60ff5cd9725a43dbd1e92606,BC,BCQ3,BCQ3_R_2bNsTno1yj3hH8l.png,,
6093672d6d0cab92f5319597,BC,BCQ3,BCQ3_R_2bOjR2UgzwnE4iW.png,,
612e780e6c97ea0e89274e66,BC,BCQ3,BCQ3_R_At8yObFnJLQmis1.png,,
60ff5cd9725a43dbd1e92606,BC,BCQ4,BCQ4_R_2bNsTno1yj3hH8l.png,,
5fbfb99036e420313c504a36,BuC,BuCQ1,BuCQ1_R_2f10eiWLe7fmb3e.png,,
60920010e7bfd828a698e5dd,BuC,BuCQ1,BuCQ1_R_3EYAhp0tk4bpxVP.png,,
5eac66ab9334300f4c37121b,BuC,BuCQ2,BuCQ2_R_125p0k5wFQtWnmC.png,,
60475f1790672f23136c2cc4,BuC,BuCQ2,BuCQ2_R_24c2iTFTV6Vstnq.png,,
5edb46d311c02e7bc763c4d2,BuC,BuCQ2,BuCQ2_R_2CHgwbb2ch9ytPK.png,,
5ff265688f62107122f931f2,BuC,BuCQ2,BuCQ2_R_2D5YAMq3VkXpyDp.png,,
5fbfb99036e420313c504a36,BuC,BuCQ2,BuCQ2_R_2f10eiWLe7fmb3e.png,,
61577fbbc195adfb13f6c45f,BuC,BuCQ2,BuCQ2_R_2zkezmGGeaFmBAX.png,,
5ee942381a22491bbb7170f8,BuC,BuCQ2,BuCQ2_R_31ithWUoUPqbdpq.png,,
60b3f53a252916ee202539f5,BuC,BuCQ2,BuCQ2_R_3GjoZDkUfL4duh6.png,,
612e780e6c97ea0e89274e66,BuC,BuCQ2,BuCQ2_R_At8yObFnJLQmis1.png,,
5e84fe873e0ebd0d3b103df2,BuC,BuCQ2,BuCQ2_R_R2L73Yf0TSvr2yB.png,,
615ef30bdf0762beb8b39c54,BuC,BuCQ2,BuCQ2_R_V3ghYhQJGQ3kaCl.png,,
615da9ee365ab7d547b98979,BuC,BuCQ3,BuCQ3_R_115SuwIUREqf0Yy.png,,
5eac66ab9334300f4c37121b,BuC,BuCQ3,BuCQ3_R_125p0k5wFQtWnmC.png,,
5d49d17b3dad1f0001e2aba1,BuC,BuCQ3,BuCQ3_R_1GQf7eWuemqVM4t.png,,
60a53519043904037bac8c91,BuC,BuCQ3,BuCQ3_R_1KjYt3cnk5eUjon.png,,
5a5a59afacc75b00017a4ee0,BuC,BuCQ3,BuCQ3_R_1gvTaKPJaqotQzK.png,,
60475f1790672f23136c2cc4,BuC,BuCQ3,BuCQ3_R_24c2iTFTV6Vstnq.png,,
5edb46d311c02e7bc763c4d2,BuC,BuCQ3,BuCQ3_R_2CHgwbb2ch9ytPK.png,,
5ff265688f62107122f931f2,BuC,BuCQ3,BuCQ3_R_2D5YAMq3VkXpyDp.png,,
60ff5cd9725a43dbd1e92606,BuC,BuCQ3,BuCQ3_R_2bNsTno1yj3hH8l.png,,
5fbfb99036e420313c504a36,BuC,BuCQ3,BuCQ3_R_2f10eiWLe7fmb3e.png,,
